2024-08-26 10:28:20, Temp: 56.4°C, Freq: 1800.457088 MHz
2024-08-26 10:29:20, Temp: 56.9°C, Freq: 1800.404352 MHz
2024-08-26 10:30:20, Temp: 55.0°C, Freq: 1800.404352 MHz
2024-08-26 10:31:20, Temp: 56.0°C, Freq: 1800.404352 MHz
2024-08-26 10:32:20, Temp: 56.4°C, Freq: 1800.457088 MHz
2024-08-26 10:33:20, Temp: 56.9°C, Freq: 1800.404352 MHz
2024-08-26 10:34:20, Temp: 56.9°C, Freq: 1800.457088 MHz
2024-08-26 10:35:20, Temp: 56.4°C, Freq: 1800.457088 MHz
2024-08-26 10:36:20, Temp: 56.4°C, Freq: 1800.457088 MHz
2024-08-26 10:37:21, Temp: 56.4°C, Freq: 1800.404352 MHz
2024-08-26 10:38:21, Temp: 57.4°C, Freq: 1800.457088 MHz
2024-08-26 10:39:21, Temp: 57.4°C, Freq: 1800.457088 MHz
2024-08-26 10:40:21, Temp: 57.9°C, Freq: 1800.404352 MHz
2024-08-26 10:41:21, Temp: 57.4°C, Freq: 1800.404352 MHz
2024-08-26 10:42:21, Temp: 56.9°C, Freq: 1800.457088 MHz
2024-08-26 10:43:21, Temp: 56.4°C, Freq: 1800.404352 MHz
2024-08-26 10:44:21, Temp: 57.9°C, Freq: 1800.457088 MHz
2024-08-26 10:45:21, Temp: 57.4°C, Freq: 1800.457088 MHz
2024-08-26 10:46:21, Temp: 56.9°C, Freq: 1800.457088 MHz
2024-08-26 10:47:21, Temp: 57.4°C, Freq: 1800.457088 MHz
2024-08-26 10:48:21, Temp: 57.4°C, Freq: 1800.457088 MHz
2024-08-26 10:49:21, Temp: 56.9°C, Freq: 1800.457088 MHz
2024-08-26 10:50:21, Temp: 57.9°C, Freq: 1800.404352 MHz
2024-08-26 10:51:21, Temp: 57.9°C, Freq: 1800.404352 MHz
2024-08-26 10:52:21, Temp: 57.4°C, Freq: 1800.404352 MHz
2024-08-26 10:53:21, Temp: 57.9°C, Freq: 1800.404352 MHz
2024-08-26 10:54:21, Temp: 56.9°C, Freq: 1800.457088 MHz
2024-08-26 10:55:21, Temp: 56.4°C, Freq: 1800.457088 MHz
2024-08-26 10:56:21, Temp: 57.9°C, Freq: 1800.404352 MHz
2024-08-26 10:57:21, Temp: 57.4°C, Freq: 1800.457088 MHz
2024-08-26 10:58:21, Temp: 56.9°C, Freq: 1800.404352 MHz
2024-08-26 10:59:21, Temp: 57.9°C, Freq: 1800.457088 MHz
2024-08-26 11:00:21, Temp: 57.9°C, Freq: 1800.457088 MHz
2024-08-26 11:01:21, Temp: 56.4°C, Freq: 1800.457088 MHz
2024-08-26 11:02:21, Temp: 57.9°C, Freq: 1800.457088 MHz
2024-08-26 11:03:21, Temp: 58.4°C, Freq: 1800.404352 MHz
2024-08-26 11:04:21, Temp: 57.9°C, Freq: 1800.457088 MHz
2024-08-26 11:05:21, Temp: 58.4°C, Freq: 1800.457088 MHz
2024-08-26 11:06:21, Temp: 58.9°C, Freq: 1800.457088 MHz
2024-08-26 11:07:22, Temp: 58.4°C, Freq: 1800.404352 MHz
2024-08-26 11:08:22, Temp: 57.9°C, Freq: 1800.404352 MHz
2024-08-26 11:09:22, Temp: 58.4°C, Freq: 1800.457088 MHz
2024-08-26 11:10:22, Temp: 57.4°C, Freq: 1800.457088 MHz
2024-08-26 11:11:22, Temp: 58.9°C, Freq: 1800.404352 MHz
2024-08-26 11:12:22, Temp: 58.9°C, Freq: 1800.404352 MHz
2024-08-26 11:13:22, Temp: 59.4°C, Freq: 1800.404352 MHz
2024-08-26 11:14:22, Temp: 57.9°C, Freq: 1800.457088 MHz
2024-08-26 11:15:22, Temp: 59.4°C, Freq: 1800.404352 MHz
2024-08-26 11:16:22, Temp: 57.9°C, Freq: 1800.457088 MHz
2024-08-26 11:17:22, Temp: 59.4°C, Freq: 1800.404352 MHz
2024-08-26 11:18:22, Temp: 58.9°C, Freq: 1800.457088 MHz
2024-08-26 11:19:22, Temp: 58.9°C, Freq: 1800.457088 MHz
2024-08-26 11:20:22, Temp: 57.9°C, Freq: 1800.404352 MHz
2024-08-26 11:21:22, Temp: 58.4°C, Freq: 1800.457088 MHz
2024-08-26 11:22:22, Temp: 57.9°C, Freq: 1800.457088 MHz
2024-08-26 11:23:22, Temp: 57.9°C, Freq: 1800.457088 MHz
2024-08-26 11:24:22, Temp: 58.4°C, Freq: 1800.404352 MHz
2024-08-26 11:25:22, Temp: 57.9°C, Freq: 1800.457088 MHz
2024-08-26 11:26:22, Temp: 57.4°C, Freq: 1800.457088 MHz
2024-08-26 11:27:22, Temp: 58.4°C, Freq: 1800.457088 MHz
2024-08-26 11:28:22, Temp: 57.9°C, Freq: 1800.457088 MHz
2024-08-26 11:29:22, Temp: 58.4°C, Freq: 1800.457088 MHz
2024-08-26 11:30:22, Temp: 58.9°C, Freq: 1800.457088 MHz
2024-08-26 11:31:22, Temp: 56.9°C, Freq: 1800.457088 MHz
