2024-08-19 13:43:39, Temp: 47.7°C, Freq: 1800.457088 MHz
2024-08-19 13:44:39, Temp: 48.2°C, Freq: 1800.404352 MHz
2024-08-19 13:45:39, Temp: 48.7°C, Freq: 1800.457088 MHz
2024-08-19 13:46:40, Temp: 48.7°C, Freq: 1800.457088 MHz
2024-08-19 13:47:40, Temp: 48.7°C, Freq: 600.117184 MHz
2024-08-19 13:48:40, Temp: 48.2°C, Freq: 1800.457088 MHz
2024-08-19 13:49:40, Temp: 48.7°C, Freq: 1800.457088 MHz
2024-08-19 13:50:40, Temp: 48.2°C, Freq: 700.154304 MHz
2024-08-19 13:51:40, Temp: 47.7°C, Freq: 700.20704 MHz
2024-08-19 13:52:40, Temp: 49.1°C, Freq: 1800.404352 MHz
2024-08-19 13:53:40, Temp: 49.1°C, Freq: 1800.404352 MHz
2024-08-19 13:54:40, Temp: 48.7°C, Freq: 1800.457088 MHz
2024-08-19 13:55:40, Temp: 48.7°C, Freq: 600.16992 MHz
2024-08-19 13:56:40, Temp: 50.1°C, Freq: 1800.457088 MHz
2024-08-19 13:57:40, Temp: 49.1°C, Freq: 1800.404352 MHz
2024-08-19 13:58:40, Temp: 48.2°C, Freq: 1800.457088 MHz
2024-08-19 13:59:40, Temp: 49.6°C, Freq: 1800.404352 MHz
2024-08-19 14:00:40, Temp: 49.1°C, Freq: 1800.457088 MHz
2024-08-19 14:01:40, Temp: 48.2°C, Freq: 600.117184 MHz
2024-08-19 14:02:40, Temp: 48.7°C, Freq: 600.16992 MHz
2024-08-19 14:03:40, Temp: 48.7°C, Freq: 1800.457088 MHz
2024-08-19 14:04:40, Temp: 47.7°C, Freq: 1800.457088 MHz
2024-08-19 14:05:40, Temp: 48.7°C, Freq: 1800.457088 MHz
2024-08-19 14:06:40, Temp: 47.7°C, Freq: 1800.457088 MHz
2024-08-19 14:07:40, Temp: 49.1°C, Freq: 1800.457088 MHz
2024-08-19 14:08:40, Temp: 48.2°C, Freq: 1800.457088 MHz
2024-08-19 14:09:40, Temp: 49.1°C, Freq: 1800.404352 MHz
2024-08-19 14:10:40, Temp: 49.1°C, Freq: 600.16992 MHz
2024-08-19 14:11:40, Temp: 49.1°C, Freq: 1800.404352 MHz
2024-08-19 14:12:40, Temp: 48.7°C, Freq: 1800.404352 MHz
2024-08-19 14:13:40, Temp: 49.1°C, Freq: 1800.404352 MHz
2024-08-19 14:14:40, Temp: 50.1°C, Freq: 1800.404352 MHz
2024-08-19 14:15:40, Temp: 49.1°C, Freq: 1800.457088 MHz
